slug,locale,name
potraviny,sk,Potraviny
potraviny,en,Food
potraviny,pl,Żywność
potraviny,de,Lebensmittel
mlecne,sk,Mliečne výrobky
mlecne,en,Dairy
mlecne,pl,Nabiał
mlecne,de,Milchprodukte
maslo,sk,Maslo
maslo,en,Butter
maslo,pl,Masło
maslo,de,Butter
tvaroh-a-termix,sk,Tvaroh a tvarohové dezerty
tvaroh-a-termix,en,Curd Cheese and Sweet Curd Snacks
tvaroh-a-termix,pl,Twaróg i serki homogenizowane
tvaroh-a-termix,de,Quark und Quarkspeisen
syry,sk,Syry
syry,en,Cheese
syry,pl,Sery
syry,de,Käse
smetana-a-zakysane-vyrobky,sk,Smotana a kysnuté výrobky
smetana-a-zakysane-vyrobky,en,Cream and Cultured Dairy
smetana-a-zakysane-vyrobky,pl,Śmietana i produkty fermentowane
smetana-a-zakysane-vyrobky,de,Sahne und Sauermilchprodukte
jogurty,sk,Jogurty
jogurty,en,Yogurts
jogurty,pl,Jogurty
jogurty,de,Joghurt
mleko,sk,Mlieko
mleko,en,Milk
mleko,pl,Mleko
mleko,de,Milch
rostlinne-alternativy-mleka,sk,Rastlinné alternatívy mlieka
rostlinne-alternativy-mleka,en,Plant-Based Milk Alternatives
rostlinne-alternativy-mleka,pl,Roślinne zamienniki mleka
rostlinne-alternativy-mleka,de,Pflanzliche Milchalternativen
vejce,sk,Vajcia
vejce,en,Eggs
vejce,pl,Jaja
vejce,de,Eier
pecivo,sk,Pečivo
pecivo,en,Bakery
pecivo,pl,Pieczywo
pecivo,de,Backwaren
chleba,sk,Chlieb
chleba,en,Bread
chleba,pl,Chleb
chleba,de,Brot
rohliky-a-bezne-pecivo,sk,Rožky a bežné pečivo
rohliky-a-bezne-pecivo,en,Rolls and Everyday Bakery
rohliky-a-bezne-pecivo,pl,Bułki i pieczywo codzienne
rohliky-a-bezne-pecivo,de,Brötchen und tägliches Gebäck
sladke-pecivo-a-kolace,sk,Sladké pečivo a koláče
sladke-pecivo-a-kolace,en,Sweet Pastries and Cakes
sladke-pecivo-a-kolace,pl,Słodkie wypieki i ciasta
sladke-pecivo-a-kolace,de,Süßgebäck und Kuchen
trvanlive-pecivo,sk,Trvanlivé pečivo
trvanlive-pecivo,en,Long-Life Bakery
trvanlive-pecivo,pl,Pieczywo trwałe
trvanlive-pecivo,de,Haltbares Gebäck
maso-uzeniny,sk,Mäso a údeniny
maso-uzeniny,en,Meat and Deli
maso-uzeniny,pl,Mięso i wędliny
maso-uzeniny,de,Fleisch und Wurstwaren
cerstve-maso,sk,Čerstvé mäso
cerstve-maso,en,Fresh Meat
