off_tag,category_slug,priority
en:foods,potraviny,10
en:dairies,mlecne,20
en:butters,maslo,100
en:cheeses,syry,100
en:yogurts,jogurty,100
en:milks,mleko,100
en:plant-based-milks,rostlinne-alternativy-mleka,110
en:eggs,vejce,100
en:breads,chleba,100
en:pastries,sladke-pecivo-a-kolace,100
en:meats,cerstve-maso,90
en:poultries,drubez,100
en:sausages,uzeniny-a-salamy,100
en:fishes,ryby-a-morske-plody,100
en:fruits,cerstve-ovoce,100
en:vegetables,cerstva-zelenina,100
en:dried-fruits,susene-ovoce-a-orechy,110
en:nuts,susene-ovoce-a-orechy,110
en:pastas,testoviny,100
en:flours,mouka-a-suroviny-na-peceni,100
en:rices,ryze-lusteniny,100
en:legumes,ryze-lusteniny,100
en:oils,oleje-a-octy,100
en:vinegars,oleje-a-octy,100
en:canned-foods,konzervy,100
en:sauces,omacky-a-dochucovadla,100
en:spices,koreni-a-ochucovadla,100
en:frozen-foods,mrazene,50
en:ice-creams,zmrzlina,110
en:chocolates,cokolada,100
en:biscuits,susenky-a-oplatky,100
en:chips-and-fries,bramborove-lupinky-a-slane-snacky,100
en:candies,zvykacky-a-bonbony,100
en:beverages,napoje,20
en:waters,balena-voda,100
en:sodas,limonady-a-kola,100
en:fruit-juices,dzusy-a-siropy,100
en:beers,pivo,100
en:wines,vino,100
en:spirits,destilaty,100
en:energy-drinks,energeticke-a-sportovni-napoje,100
en:coffees,kava,100
en:teas,caj,100
